Text;Entity;Attribute;Rule
"Цветочный магазин
Необходимо создать базу данных для приложения, обслуживающего информационные потребности цветочного магазина. В БД должны храниться сведения о цветах, которые есть в продаже (название, класс, цена, кол-во экземпляров, срок завоза, страна происхождения). Кроме этого, необходимо создать иерархический классификатор цветов (Класс-Отряд-Семейство-Вид) для облегчения поиска необходимых растений. Каждый класс имеет название и краткое описание. БД также должна учитывать продажи цветов (дата продажи, кол-во проданных экземпляров).";цветок, класс, отряд, семейство, вид, продажа;"""вид:[идентификатор:int,название:string,краткое описание:string];класс:[идентификатор:int,название:string,краткое описание:string,идентификатор отряда:int];отряд:[идентификатор:int,название:string,краткое описание:string,идентификатор семейста:int];продажа:[идентификатор:int,идентификатор цветка:int,количество проданных экземпляров:int,дата:date];семейство:[идентификатор:int,название:string,краткое описание:string,идентификатор вида:int];цветок:[идентификатор:int,название:string,идентификатор класса:int,цена:double,количество экземпляров:int,срок завоза:date,страна происхождения:string]""";цветок>продажа, отряд>класс, семейство>отряд, вид>семейство, класс>цветок
"Пункт проката видеопродукции
Для пункта проката видеопродукции необходимо создать приложение и БД для учета выдачи видео. Видео может храниться на DVD, CD или видеокассетах, причем один и тот же фильм может встречаться на разных носителях. Для каждого фильма необходимо хранить информацию о названии, жанре, режиссере и список актеров. Для каждой единицы проката необходимо хранить цену проката за сутки и сумму залога. При выдаче прокатной продукции необходимо сохранять дату выдачи и ФИО клиента. При возврате – дату возврата.";единица_проката, фильм, выдача, возврат;"""возврат:[идентификатор:int,идентификатор единицы проката:int,дата:date];выдача:[идентификатор:int,идентификатор единицы проката:int,дата:date,ФИО:string];единица проката:[идентификатор:int,тип хранения:string,идентификатор фильма:int,цена проката за сутки:int,сумма залога:int];фильм:[идентификатор:int,название:string,жанр:string,режиссер:string,список актеров:string]""";фильм>единица_проката, единица_проката>выдача, единица_проката>возврат
"Платные курсы
При факультете ПММ организовали платные курсы для обучения школьников информатике. В эти курсы входят «Основы языка PASCAL», «Web - дизайн» и «Моделирование в 3D MAX». Не исключено, что список курсов будет расширен. Для каждого курса хранится информация о продолжительности (в часах), стоимости, программа курса (список тем), а также фамилия преподавателя. Школьники могут записаться на один или несколько курсов. При регистрации школьника записывается его ФИО и школа и класс, в которой он обучается. Оплата может производиться сразу, а может – позже. При окончании курса выдается свидетельство, номер которого записывается в БД.";курс, школьник, прохождение_курса;"""курс:[идентификатор:int,название:string,фамилия преподавателя:string,программа:text,продолжительность в часах:int,стоимость:double];прохождение крса:[идентификатор:int];прохождение курса:[идентификатор курса:int,идентификатор школьника:int,дата оплаты:date,дата окончания:date,номер свидетельства:int,дата начала:date];школьник:[идентификатор:int,ФИО:string,школа:string,класс:string]""";школьник>прохождение_курса, курс>прохождение_курса
"Для хранения данных на сайте необходимо создать базу данных. Требования к данным:
1. Необходимо хранить информацию о пользователях: псевдоним, реальные фамилию,имя, отчество, номер ICQ, телефон, e-mail. У пользователя может быть несколько e-mail, но только один из них является основным, который будет использоваться для связи. Кроме этого, у пользователя может быть один или несколько аватаров – графических файлов. Для аватара необходимо хранить имя файла и размер.
2. Каждый пользователь может создать несколько сообщений, которые тоже нужно хранить в базе данных. Для каждого сообщения хранится тема, дата создания и текст сообщения. К сообщению могут быть приложены дополнительные файлы, для них нужно хранить полное размещение, тип (документ, графика, видео), размер и описание.
3. На каждое сообщение другие пользователи могут оставлять свои сообщения. Допускаются анонимные пользователи.
4. У каждого пользователя могут быть друзья из числа других пользователей.";пользователь, аватар, e-mail, сообщение, файл, друзья;"""e-mail:[идентификатор:int,адрес:string,является основным:boolean,идентификатор пользователя:int];аватар:[идентификатор:int,имя файла:string,размер файла:double,идентификатор пользователя:int];друзья:[идентификатор пользователя:int,идентификатор пользователя:int];пользователь:[идентификатор:int,псевдоним:string,фамилия:string,имя:string,отчество:string,номер ICQ:int,телефон:int];сообщение:[идентификатор:int,тема:string,текст:text,дата созания:date,ответ на сообщение:int,идентификатор пользователя:int];файл:[полное размещение:string,тип:string,размер:double,описание:text];файла:[идентификатор:int]""";пользователь>аватар, пользователь>e-mail, пользователь>сообщение, сообщение<сообщение, сообщение>файл, пользователь<>пользователь
"База данных ГИБДД
В ГИБДД решили автоматизировать деятельность одного из своих подразделений и создать приложение для учета автомобилей. В базе данных необходимо хранить информацию об автомобилях и их владельцах. Человек может владеть несколькими автомобилями. Необходимо хранить следующую информацию:
1. О владельце: ФИО, номер паспорта, номер водительского удостоверения, адрес
2. Об автомобиле: модель, номер кузова, номер двигателя, номер тех. паспорта, дату регистрации.
3. Необходимо хранить историю смены владельцев
4. Так же необходимо хранить информацию об угнанных и найденных автомобилях, для этого необходимо предусмотреть хранение информации о дате угона, месте угона, дате и месте нахождения.";автомобиль, владелец, история, угон;"""автомобиль:[идентификатор:int,модель:string,номер двигателя:int,номер тех паспорта:int,дата регистрации:date];владелец:[ФИО:string,номер паспорта:int,номер водительского удостоверения:int,адрес:string];история:[идентификатор:int,идентификатор автомобиля:int,дата начала:date,дата конца:date,идентификатор владельца:int];угон:[идентификатор:int,идентификатор автомобиля:int,дата:date,место:string,дата нахождения:date,место нахождения:string]""";владелец>автомобиль, автомобиль>история, владелец>история, автомобиль>угон
"Приложение Speedy Pizza

Пиццерии необходимо приложение для приема заказов и оформления доставки пиццы. Вот что было выяснено во время беседы с директором:
1. Покупатель звонит и оформляет заказ на доставку
a. Фиксируется время заказа и блюда, которые были заказаны
b. Также фиксируется адрес доставки, имя клиента и контактный телефон
c. В заказе могут быть несколько блюд
d. Могут быть заказаны несколько одинаковых блюд
2. Для доставки могут быть специальные инструкции, указанные в заказе
3. После доставки регистрируется время
4. Помимо пиццы в также меню присутствуют салаты и спагетти
5. Для каждого блюда указывается цена. История изменения цен заказчика не интересует
6. Для каждого блюда необходимо указывать составляющие
7. Постоянным клиентам после 50 заказов делается скидка 15%, а после 100 – 20%";заказ, клиент, блюдо, заказы_блюда;"""блюдо:[идентификатор:int,название:string,составляющие:text,цена:double];заказ:[идентификатор:int,время заказа:timestamp,идентификатор клиента:int,специальные инструкции:text,время доставки:timestamp,сумма:double,скидка:int];заказы блюда:[идентификатор заказа:int,идентификатор блюда:int,количество:int];клиент:[идентификатор:int,фамилия:string,адрес:string,контактный телефон:int,количество заказов:int]""";заказ<>блюдо, клиент>заказ
"База данных хроники восхождений в альпинистском клубе. В
базе данных должны записываться даты начала и завершения каждого восхождения, имена и адреса участвовавших в нем альпинистов, название и высота горы, страна и район, где эта гора
расположена.";восхождение, альпинист, гора, восхождения_альпинисты;"""восхождение:[идентификатор:int, дата начала:date, дата завершения:date];альпинист:[идентификатор:int, имя:string, адрес:string];гора:[идентификатор:int, название:string, высота:double, страна:string, район:string];восхождения альпинисты:[идентификатор восхождения:int, идентификатор альпиниста:int]""";альпинист<>восхождение, гора>восхождение
"База данных медицинского кооператива. Базу данных использует для работы коллектив врачей. В таблицы должны быть занесены имя, пол, дата рождения и домашний адрес каждого их пациента. Всякий раз, когда врач осматривает больного, явившегося к нему на прием, или сам приходит к нему на дом, он записывает дату и место, где проводится осмотр, симптомы, диагноз и
предписания больному, проставляет имя пациента, а также свое
имя. Если врач прописывает больному какое-либо лекарство, в
таблицу заносится название лекарства, способ его приема, словесное описание предполагаемого действия и возможных побочных эффектов.";врач, пациент, осмотр, лекарство;"""врач:[идентификатор:int, имя:string];пациент:[идентификатор:int, имя:string, пол:string, дата рождения:date, домашний адрес:string];осмотр:[идентификатор:int, дата:date, место:string, симптомы:text, диагноз:text, предписания:text, идентификатор пациента:int, идентификатор врача:int, идентификатор лекарства:int];лекарство:[идентификатор:int, название:string, способ приема:string, описание предполагаемого действия:text, возможные побочные эффекты:text]""";врач>осмотр, пациент>осмотр, лекарство>осмотр
"База данных Городской Думы. В базе хранятся имена, адреса,
домашние и служебные телефоны всех членов Думы. В Думе работает порядка сорока комиссий, все участники которых являются членами Думы. Каждая комиссия имеет свой профиль, например, вопросы образования, проблемы, связанные с жильем и так
далее. Данные по каждой из комиссий включают: ее нынешний
состав и председатель, прежние председатели и члены этой комиссии, участвовавшие в ее работе за прошедшие 10 лет, даты
включения и выхода из состава комиссии, избрания ее председателей. Члены Думы могут заседать в нескольких комиссиях. В базу заносятся время и место проведения каждого заседания комиссии с указанием депутатов и служащих Думы, которые участвуют
в его организации.";член думы, комиссия, заседание, история состава, история председателей, заседания_члены думы, комиссии_члены думы;"""член думы:[идентификатор:int, имя:string, адрес:string, домашний телефон:int, служебный телефон:int];комиссия:[идентификатор:int, профиль:string, идентификатор председателя:int];заседание:[идентификатор:int, время проведения:timestamp, место проведения:string, депутаты:text];история состава:[идентификатор комиссии:int, идентификатор члена думы:int, дата включения:date, дата выхода:date];история председателей:[идентификатор комиссии:int, идентификатор члена думы:int, дата избрания:date];заседания_члены думы:[идентификатор заседания:int, идентификатор члена думы:int], комиссии_члены думы:[идентификатор комиссии:int, идентификатор члена думы:int]""";член думы<>комиссия, член думы<>заседание, член думы<>история председателей, комиссия<>история председателей, член думы>комиссия
"Фирме принадлежит небольшая флотилия рыболовных катеров. Каждый катер имеет
""паспорт"", куда занесены его название, тип, водоизмещение и
дата постройки. Фирма регистрирует каждый выход на лов, записывая название катера, имена и адреса членов команды с указанием их должностей (капитан, боцман и т.д.), даты выхода и возвращения, а также вес пойманной рыбы отдельно по сортам (например, трески). За время одного рейса катер может посетить несколько банок. Фиксируется дата прихода на каждую банку и дата
отплытия, качество выловленной рыбы (отличное, хорошее,
плохое). На борту улов не взвешивается. ";катер, рейс, член команды, банка, сорт рыбы, рейсы_банки, рейсы_сорта рыбы, рейсы_члены команды;"""катер:[идентификатор:int, название:string, тип:string, водоизмещение:double, дата постройки:date];рейс:[идентификатор:int, идентификатор катера:int, дата выхода:date, дата возвращения:date];член команды:[идентификатор:int, имя:string, адрес:string, должность:string];банка:[идентификатор:int, название:string, расположение:string];сорт рыбы:[идентификатор:int, название:string];рейсы_банки:[идентификатор рейса:int, идентификатор банки:int, качество рыбы:string, дата прихода:date, дата отплытия:date];рейсы_сорта рыбы:[идентификатор рейса:int, идентификатор сорта рыбы:int, вес сорта рыбы:double];рейсы_члены команды:[идентификатор рейса:int, идентификатор члена команды:int]""";катер>рейс, член команды<>рейс, сорт рыбы<>рейс, банка<>рейс
"База данных фирмы, проводящей аукционы. Фирма занимается продажей с аукциона антикварных изделий и произведений
искусства. Владельцы вещей, выставляемых на проводимых
фирмой аукционах, юридически являются продавцами. Лица,
приобретающие эти вещи, именуются покупателями. Получив
от продавцов партию предметов, фирма решает, на котором из
аукционов выгоднее представить конкретный предмет. Перед
проведением очередного аукциона каждой из выставляемых на
нем вещей присваивается отдельный номер лота, играющий ту
же роль, что и введенный ранее шифр товара. Две вещи, продаваемые на различных аукционах, могут иметь одинаковые номера
лотов.
В книгах фирмы делается запись о каждом аукционе. Там отмечаются дата, место и время его проведения, а также специфика
(например, выставляются картины, написанные маслом и не ранее 1900 г.). Заносятся также сведения о каждом продаваемом
предмете: аукцион, на который он заявлен, номер лота, продавец,
отправная цена и краткое словесное описание. Продавцу разрешается выставлять любое количество вещей, а покупатель имеет
право приобретать любое количество вещей. Одно и то же лицо
или фирма может выступать и как продавец, и как покупатель.
После аукциона служащие фирмы, проводящей аукционы, записывают фактическую цену, уплаченную за проданный предмет,
и фиксируют данные покупателя. ";вещь, продавец, покупатель, аукцион, продажа;"""вещь:[идентификатор:int, идентификатор аукциона:int, идентификатор продавца:int, номер лота:int, отправная цена:double, краткое описание:text];продавец:[идентификатор:int, имя:string, телефон:int];покупатель:[идентификатор:int, имя:string, телефон:int];аукцион:[идентификатор:int, дата проведения:date, место проведения:string, специфика:text];продажа:[идентификатор:int, идентификатор аукциона:int, идентификатор вещи:int, идентификатор покупателя:int, фактическая цена:double]""";вещь-аукцион, вещь-продажа, ауцкион>продажа, продавец>вещь, покупатель>продажа
"Разработать информационную систему обслуживания библиотеки, которая содержит следующую
информацию: названия книг, ФИО авторов, наименования издательств, год издания, количество страниц, количество иллюстраций, стоимость, название филиала библиотеки или книгохранилища, в которых находится книга, количество имеющихся в библиотеке экземпляров конкретной книги, количество студентов,
которым выдавалась конкретная книга, названия факультетов, в
учебном процессе которых используется указанная книга.";книга, книги в библиотеке, выдача книг, использование книг ;"""книга:[идентификатор:int, название книги:string, ФИО авторов:string, наименование издательства:string, год издания:int, количество страниц:int, количество иллюстраций:int, стоимость:double, название филиала библиотеки:string];книги в библиотеке:[идентификатор книги:int, количество книг:int];выдача книг:[идентификатор книги:int, количество выданных книг:int];использование книг:[идентификатор книги:int, название факультета:string]""";книга>количество книг, книга>количество выданных книг, книга>название факультета
"База данных по учету успеваемости студентов. База данных
должна содержать данные о контингенте студентов (фамилия,
имя, отчество, год поступления, форма обучения (дневная/вечерняя/заочная), номер или название группы); об учебном
плане (название специальности, дисциплина, семестр, количество отводимых на дисциплину часов, форма отчетности (экзамен/зачет)); о журнале успеваемости студентов (год/семестр, студент, дисциплина, оценка).";студент, учебный план, журнал успеваемости;"""студент:[идентификатор:int, имя:string, фамилия:string, отчество:string, год поступления:int, форма обучения:string, номер или название группы:string];учебный план:[идентификатор:int, название специальности:string, дисциплина:string, семестр:int, количество отводимых часов:int, форма отчетности:string];журнал успеваемости:[идентификатор:int, год:int, семестр:int, идентификатор дисциплины:int, идентификатор студента:int, оценка:int]""";студент>журнал успеваемости, дисциплина>журнал успеваемости
"База данных для учета аудиторного фонда университета. База данных должна содержать следующую информацию об аудиторном фонде университета. Наименование корпуса, в котором
расположено помещение, номер комнаты, расположение комнаты в корпусе, ширина и длина комнаты в метрах, назначение и
вид помещения, подразделение университета, за которым закреплено помещение. В базе данных также должна быть информация о высоте потолков в помещениях в зависимости от места
расположения помещений в корпусе. Следует также учитывать,
что структура подразделений университета имеет иерархический
вид, когда одни подразделения входят в состав других (факультет, кафедра, лаборатория). ";корпус, помещение, комната, подразделение;"""корпус:[идентификатор:int, наименование:string, адрес:string];помещение:[идентификатор:int, расположение в корпусе:string, назначение:string, вид:string, идентификатор подразделения университета:int, высота потолков:double];комната:[идентификатор:int, номер комнаты:int, ширина:double, длина:double, идентификатор помещения:int];подразделение:[идентификатор:int, наименование:string, тип:string, родительское подразделение:int]""";корпус>помещение, помещение>комната, подразделение>помещение, подразделение>подразделение
